DELIVERY,C2,18.9998514793;71.9994007479;13.7574172348  
RETURN ,18.999856787;71.9997186648;13.7547231293  ,X1 
DELIVERY,B2,18.9986637035;71.998604634;18.583897171  
RETURN ,18.9986368922;71.9987260147;13.7522311783  ,Y1 
DELIVERY,B1,19.0002075686;71.99977196;12.2690667075  
RETURN ,19.0003613122;71.9997695902;11.0204520798  ,Z3 
DELIVERY,C3,19.0004347735;71.9999818783;16.6052727343  
RETURN ,19.0004276977;72.0002075351;13.341668663  ,Z2
DELIVERY,C1,19.0000249789;72.0005295595;22.1052575684  
RETURN ,18.9998941351;72.0007156873;17.4665418243  ,Z1 
DELIVERY,A1,18.99993956;72.0008224534;17.4189912398  
RETURN ,18.9999307555;72.0009570895;13.0249372101  ,X2 
RETURN ,18.999937967;72.0011821588;12.9219155884  ,Y3 
DELIVERY,A3,19.0002254548;72.0013382182;9.75524994407  
DELIVERY,B3,19.0009116678;72.00049695;16.605268543  
RETURN ,19.0009015106;72.0006425931;16.6052665593  ,Y2 
DELIVERY,A2,19.0009179379;72.0008527191;9.75525048961  
RETURN ,19.0010346854;72.0009217464;22.1052524305  ,X3
